Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/31/2026 5:21:16 AM,System.Runtime,CPU Usage (%),Metric,0
3/31/2026 5:21:17 AM,System.Runtime,CPU Usage (%),Metric,0
3/31/2026 5:21:17 AM,System.Runtime,Working Set (MB),Metric,226.603008
3/31/2026 5:21:17 AM,System.Runtime,GC Heap Size (MB),Metric,6.653272
3/31/2026 5:21:17 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,Gen 0 GC Budget (MB),Metric,167
3/31/2026 5:21:17 AM,System.Runtime,ThreadPool Thread Count,Metric,13
3/31/2026 5:21:17 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/31/2026 5:21:17 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
3/31/2026 5:21:17 AM,System.Runtime,Number of Active Timers,Metric,4
3/31/2026 5:21:17 AM,System.Runtime,GC Fragmentation (%),Metric,36.49959094896555
3/31/2026 5:21:17 AM,System.Runtime,GC Committed Bytes (MB),Metric,83.968
3/31/2026 5:21:17 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,% Time in GC since last GC (%),Metric,85
3/31/2026 5:21:17 AM,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
3/31/2026 5:21:17 AM,System.Runtime,Gen 0 Size (B),Metric,3563528
3/31/2026 5:21:17 AM,System.Runtime,Gen 1 Size (B),Metric,5352
3/31/2026 5:21:17 AM,System.Runtime,Gen 2 Size (B),Metric,5903544
3/31/2026 5:21:17 AM,System.Runtime,LOH Size (B),Metric,98384
3/31/2026 5:21:17 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,168808
3/31/2026 5:21:17 AM,System.Runtime,Number of Assemblies Loaded,Metric,183
3/31/2026 5:21:17 AM,System.Runtime,IL Bytes Jitted (B),Metric,2201546
3/31/2026 5:21:17 AM,System.Runtime,Number of Methods Jitted,Metric,28455
3/31/2026 5:21:17 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,8.782500000000255
3/31/2026 5:21:18 AM,System.Runtime,CPU Usage (%),Metric,0
3/31/2026 5:21:18 AM,System.Runtime,Working Set (MB),Metric,226.664448
3/31/2026 5:21:18 AM,System.Runtime,GC Heap Size (MB),Metric,6.661496
3/31/2026 5:21:18 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,Gen 0 GC Budget (MB),Metric,167
3/31/2026 5:21:18 AM,System.Runtime,ThreadPool Thread Count,Metric,13
3/31/2026 5:21:18 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/31/2026 5:21:18 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
3/31/2026 5:21:18 AM,System.Runtime,Number of Active Timers,Metric,4
3/31/2026 5:21:18 AM,System.Runtime,GC Fragmentation (%),Metric,36.49959094896555
3/31/2026 5:21:18 AM,System.Runtime,GC Committed Bytes (MB),Metric,83.968
3/31/2026 5:21:18 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,% Time in GC since last GC (%),Metric,85
3/31/2026 5:21:18 AM,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
3/31/2026 5:21:18 AM,System.Runtime,Gen 0 Size (B),Metric,3563528
3/31/2026 5:21:18 AM,System.Runtime,Gen 1 Size (B),Metric,5352
3/31/2026 5:21:18 AM,System.Runtime,Gen 2 Size (B),Metric,5903544
3/31/2026 5:21:18 AM,System.Runtime,LOH Size (B),Metric,98384
3/31/2026 5:21:18 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,168808
3/31/2026 5:21:18 AM,System.Runtime,Number of Assemblies Loaded,Metric,183
3/31/2026 5:21:18 AM,System.Runtime,IL Bytes Jitted (B),Metric,2206117
3/31/2026 5:21:18 AM,System.Runtime,Number of Methods Jitted,Metric,28493
3/31/2026 5:21:18 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,10.190300000000207
3/31/2026 5:21:16 AM,System.Runtime,Working Set (MB),Metric,226.492416
3/31/2026 5:21:16 AM,System.Runtime,GC Heap Size (MB),Metric,6.6286
3/31/2026 5:21:16 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,Gen 0 GC Budget (MB),Metric,167
3/31/2026 5:21:16 AM,System.Runtime,ThreadPool Thread Count,Metric,13
3/31/2026 5:21:16 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/31/2026 5:21:16 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,323880
3/31/2026 5:21:16 AM,System.Runtime,Number of Active Timers,Metric,4
3/31/2026 5:21:16 AM,System.Runtime,GC Fragmentation (%),Metric,36.49959094896555
3/31/2026 5:21:16 AM,System.Runtime,GC Committed Bytes (MB),Metric,83.968
3/31/2026 5:21:16 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,% Time in GC since last GC (%),Metric,85
3/31/2026 5:21:16 AM,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
3/31/2026 5:21:16 AM,System.Runtime,Gen 0 Size (B),Metric,3563528
3/31/2026 5:21:16 AM,System.Runtime,Gen 1 Size (B),Metric,5352
3/31/2026 5:21:16 AM,System.Runtime,Gen 2 Size (B),Metric,5903544
3/31/2026 5:21:16 AM,System.Runtime,LOH Size (B),Metric,98384
3/31/2026 5:21:16 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,168808
3/31/2026 5:21:16 AM,System.Runtime,Number of Assemblies Loaded,Metric,183
3/31/2026 5:21:16 AM,System.Runtime,IL Bytes Jitted (B),Metric,2196604
3/31/2026 5:21:16 AM,System.Runtime,Number of Methods Jitted,Metric,28427
3/31/2026 5:21:16 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,19.933999999999287
3/31/2026 5:21:19 AM,System.Runtime,CPU Usage (%),Metric,0
3/31/2026 5:21:19 AM,System.Runtime,Working Set (MB),Metric,226.705408
3/31/2026 5:21:19 AM,System.Runtime,GC Heap Size (MB),Metric,6.66972
3/31/2026 5:21:19 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,Gen 0 GC Budget (MB),Metric,167
3/31/2026 5:21:19 AM,System.Runtime,ThreadPool Thread Count,Metric,13
3/31/2026 5:21:19 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/31/2026 5:21:19 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
3/31/2026 5:21:19 AM,System.Runtime,Number of Active Timers,Metric,4
3/31/2026 5:21:19 AM,System.Runtime,GC Fragmentation (%),Metric,36.49959094896555
3/31/2026 5:21:19 AM,System.Runtime,GC Committed Bytes (MB),Metric,83.968
3/31/2026 5:21:19 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,% Time in GC since last GC (%),Metric,85
3/31/2026 5:21:19 AM,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
3/31/2026 5:21:19 AM,System.Runtime,Gen 0 Size (B),Metric,3563528
3/31/2026 5:21:19 AM,System.Runtime,Gen 1 Size (B),Metric,5352
3/31/2026 5:21:19 AM,System.Runtime,Gen 2 Size (B),Metric,5903544
3/31/2026 5:21:19 AM,System.Runtime,LOH Size (B),Metric,98384
3/31/2026 5:21:19 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,168808
3/31/2026 5:21:19 AM,System.Runtime,Number of Assemblies Loaded,Metric,183
3/31/2026 5:21:19 AM,System.Runtime,IL Bytes Jitted (B),Metric,2209107
3/31/2026 5:21:19 AM,System.Runtime,Number of Methods Jitted,Metric,28533
3/31/2026 5:21:19 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,8.58849999999984
3/31/2026 5:21:20 AM,System.Runtime,CPU Usage (%),Metric,0.28846153846153844
3/31/2026 5:21:20 AM,System.Runtime,Working Set (MB),Metric,229.39648
3/31/2026 5:21:20 AM,System.Runtime,GC Heap Size (MB),Metric,7.893496
3/31/2026 5:21:20 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,Gen 0 GC Budget (MB),Metric,167
3/31/2026 5:21:20 AM,System.Runtime,ThreadPool Thread Count,Metric,13
3/31/2026 5:21:20 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/31/2026 5:21:20 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,46
3/31/2026 5:21:20 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,1229120
3/31/2026 5:21:20 AM,System.Runtime,Number of Active Timers,Metric,4
3/31/2026 5:21:20 AM,System.Runtime,GC Fragmentation (%),Metric,36.49959094896555
3/31/2026 5:21:20 AM,System.Runtime,GC Committed Bytes (MB),Metric,83.968
3/31/2026 5:21:20 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,% Time in GC since last GC (%),Metric,85
3/31/2026 5:21:20 AM,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
3/31/2026 5:21:20 AM,System.Runtime,Gen 0 Size (B),Metric,3563528
3/31/2026 5:21:20 AM,System.Runtime,Gen 1 Size (B),Metric,5352
3/31/2026 5:21:20 AM,System.Runtime,Gen 2 Size (B),Metric,5903544
3/31/2026 5:21:20 AM,System.Runtime,LOH Size (B),Metric,98384
3/31/2026 5:21:20 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,168808
3/31/2026 5:21:20 AM,System.Runtime,Number of Assemblies Loaded,Metric,188
3/31/2026 5:21:20 AM,System.Runtime,IL Bytes Jitted (B),Metric,2238728
3/31/2026 5:21:20 AM,System.Runtime,Number of Methods Jitted,Metric,28874
3/31/2026 5:21:20 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,40.126000000000204
3/31/2026 5:21:20 AM,Microsoft.AspNetCore.Hosting,http.server.request.duration (s)[http.request.method=GET;http.response.status_code=200;http.route=api/catalog-types;network.protocol.version=1.1;url.scheme=http;Percentile=50],Metric,0.00035381317138671875
3/31/2026 5:21:20 AM,Microsoft.AspNetCore.Hosting,http.server.request.duration (s)[http.request.method=GET;http.response.status_code=200;http.route=api/catalog-types;network.protocol.version=1.1;url.scheme=http;Percentile=95],Metric,0.00035381317138671875
3/31/2026 5:21:20 AM,Microsoft.AspNetCore.Hosting,http.server.request.duration (s)[http.request.method=GET;http.response.status_code=200;http.route=api/catalog-types;network.protocol.version=1.1;url.scheme=http;Percentile=99],Metric,0.00035381317138671875
